id,text,label
11,"  In the near future, gravitational wave detection is set to become an
important observational tool for astrophysics. It will provide us with an
excellent means to distinguish different gravitational theories. In effective
form, many gravitational theories can be cast into an f(R) theory. In this
article, we study the dynamics and gravitational waveform of an equal-mass
binary black hole system in f(R) theory. We reduce the equations of motion in
f(R) theory to the Einstein-Klein-Gordon coupled equations. In this form, it is
straightforward to modify our existing numerical relativistic codes to simulate
binary black hole mergers in f(R) theory. We considered binary black holes
surrounded by a shell of scalar field. We solve the initial data numerically
using the Olliptic code. The evolution part is calculated using the extended
AMSSNCKU code. Both codes were updated and tested to solve the problem of
binary black holes in f(R) theory. Our results show that the binary black hole
dynamics in f(R) theory is more complex than in general relativity. In
particular, the trajectory and merger time are strongly affected. Via the
gravitational wave, it is possible to constrain the quadratic part parameter of
f(R) theory in the range |a_2|<10^{11} m^2 . In principle, a gravitational wave
detector can distinguish between a merger of binary black hole in f(R) theory
and the respective merger in general relativity. Moreover, it is possible to
use gravitational wave detection to distinguish between f(R) theory and a non
self-interacting scalar field model in general relativity.
",human
12,"  Stellar bars are a common feature in massive disc galaxies. On a theoretical
ground, the response of gas to a bar is generally thought to cause nuclear
starbursts and, possibly, AGN activity once the perturbed gas reaches the
central super-massive black hole. By means of high resolution numerical
simulations we detail the purely dynamical effects that a forming bar exerts on
the gas of an isolated disc galaxy. The galaxy is initially unstable to the
formation of non-axisymmetric structures, and within 1 Gyr it develops spiral
arms that eventually evolve into a central stellar bar on kpc scale. A first
major episode of gas inflow occurs during the formation of the spiral arms
while at later times, when the stellar bar is establishing, a low density
region is carved between the bar co-rotational and inner Lindblad resonance
radii. The development of such ""dead zone"" inhibits further massive gas
inflows. Indeed, the gas inflow reaches its maximum during the relatively fast
bar formation phase and not, as often assumed, when the bar is fully formed. We
conclude that the low efficiency of long-lived, evolved bars in driving gas
toward galactic nuclei is the reason why observational studies have failed to
establish an indisputable link between bars and AGNs. On the other hand, the
high efficiency in driving strong gas inflows of the intrinsically transient
process of bar formation suggests that the importance of bars as drivers of AGN
activity in disc galaxies has been overlooked so far. We finally prove that our
conclusions are robust against different numerical implementations of the
hydrodynamics routinely used in galaxy evolution studies.
",human
13,"  A graph $G$ covers a graph $H$ if there exists a locally bijective
homomorphism from $G$ to $H$. We deal with regular coverings in which this
homomorphism is prescribed by an action of a semiregular subgroup $\Gamma$ of
$\textrm{Aut}(G)$; so $H \cong G / \Gamma$. In this paper, we study the
behaviour of regular graph covering with respect to 1-cuts and 2-cuts in $G$.
  We describe reductions which produce a series of graphs $G = G_0,\dots,G_r$
such that $G_{i+1}$ is created from $G_i$ by replacing certain inclusion
minimal subgraphs with colored edges. The process ends with a primitive graph
$G_r$ which is either 3-connected, or a cycle, or $K_2$. This reduction can be
viewed as a non-trivial modification of reductions of Mac Lane (1937),
Trachtenbrot (1958), Tutte (1966), Hopcroft and Tarjan (1973), Cuningham and
Edmonds (1980), Walsh (1982), and others. A novel feature of our approach is
that in each step all essential information about symmetries of $G$ are
preserved.
  A regular covering projection $G_0\to H_0$ induces regular covering
projections $G_i \to H_i$ where $H_i$ is the $i$-th quotient reduction of
$H_0$. This property allows to construct all possible quotients $H_0$ of $G_0$
from the possible quotients $H_r$ of $G_r$. By applying this method to planar
graphs, we give a proof of Negami's Theorem (1988). Our structural results are
also used in subsequent papers for regular covering testing when $G$ is a
planar graph and for an inductive characterization of the automorphism groups
of planar graphs (see Babai (1973) as well).
",human
14,"  Recent observations of our neighbouring galaxy M31 have revealed that its
disk was shaped by widespread events. The evidence for this includes the high
dispersion ($V/\sigma$ $\le$ 3) of stars older than 2 Gyr, and a global star
formation episode, 2-4 Gyr ago. Using the modern hydrodynamical code, GIZMO, we
have performed 300 high-resolution simulations to explore the extent to which
these observed properties can be explained by a single merger. We find that the
observed M31 disk resembles models having experienced a 4:1 merger, in which
the nuclei coalesced 1.8-3 Gyr ago, and where the first passage took place 7 to
10 Gyr ago at a large pericentre distance (32 kpc). We also show that within a
family of orbital parameters, the Giant Stream (GS) can be formed with various
merger mass-ratios, from 2:1 to 300:1. A recent major merger may be the only
way to create the very unusual age-dispersion relation in the disk. It
reproduces and explains the long-lived 10 kpc ring, the widespread and recent
star formation event, the absence of a remnant of the GS progenitor, the
apparent complexity of the 3D spatial distribution of the GS, the NE and G
Clumps and their formation process, and the observed slope of the halo profile.
These modelling successes lead us to propose that the bulk of the substructure
in the M31 halo, as well as the complexity of the inner galaxy, may be
attributable to a single major interaction with a galaxy that has now fully
coalesced with Andromeda.
",human
15,"  We combine all available information about the spectral shape and morphology
of the radio halo of the Coma cluster with the gamma-ray upper limits obtained
by the Fermi-LAT and with the magnetic field strength derived from Faraday
rotation measures (RM). We explore the possibility that the radio halo is due
to synchrotron emission of secondary electrons generated via p-p collisions in
the intra-cluster-medium (ICM). First we investigate the case of pure secondary
models. We use the observed spatial distribution of the halo's radio brightness
to constrain the amount of cosmic rays (CRs) and their spatial distribution in
the cluster that are required by the model. Under the canonical assumption that
the spectrum of CRs is a power-law in momentum and that the spectrum of
secondaries is stationary, we find that the combination of the steep spectrum
of CRs necessary to explain the spectrum of the halo and their very broad
spatial distribution (and large energy density) result in a gamma-ray emission
in excess of present limits, unless the cluster magnetic field is sufficiently
large. However such a field appears inconsistent with constraints from RM.
Second we investigate more complex models based on secondary particles in which
CR protons and their secondaries are all reaccelerated by MHD turbulence. We
show that under these conditions it is possible to reproduce the radio data and
to predict gamma-rays in agreement with the Fermi-LAT limits without tension
with constraints on the cluster magnetic field. Reacceleration of secondaries
by MHD turbulence also requires a spatial distribution of CRs much flatter than
that of the ICM, if both the turbulent and magnetic field energy densities
scale with that of the ICM. However broader spatial distributions of turbulence
and field and/or the reacceleration of additional primary electrons in the ICM
greatly alleviate this requirement.
",human
16,"The behavior of thermodynamic Casimir forces (TCF) in isotropic systems during the crossover from low-temperature to high-temperature fluctuations is an intriguing phenomenon in the field of statistical mechanics. In this study, we investigate the TCF of simple isotropic systems, focusing on the Lennard-Jones (LJ) potential and the Ising model, using Monte Carlo simulation methods.  The background of this study includes the understanding of Casimir forces, which originate from the quantized fluctuations of the vacuum state. However, the extension of this phenomenon to thermodynamic systems is still a subject of ongoing research. In the context of isotropic systems, the interest lies in the fact that these systems exhibit two distinct temperature regimes the low-temperature regime, where the system is dominantly controlled by quantum fluctuations, and the high-temperature regime, where thermal fluctuations become the primary driver.  The objective of this study is to analyze the changes in the TCF behavior across this crossover temperature region. By employing Monte Carlo simulation techniques, we first determine the equilibrium properties of the LJ potential and the Ising model systems. Subsequently, we calculate the TCF for both systems at various temperatures, including the crossover region.  Our key findings reveal a sharp transition in the TCF behavior as we move from the low-temperature to the high-temperature regime. In the low-temperature region, the TCF exhibits an attractive character, while in the high-temperature region, it becomes repulsive. This transformation is attributed to the change in the nature of the dominant fluctuations. In the low-temperature regime, the attractive Casimir forces arise due to the quantum nature of the fluctuations, whereas in the high-temperature regime, the repulsive forces are predominantly thermal.  In conclusion, this study contributes to the growing body of research on the TCF behavior in isotropic systems by exploring the crossover from low-temperature to high-temperature fluctuations. The findings demonstrate that the TCF undergoes a significant transition from attractive to repulsive, highlighting the importance of understanding the interplay between quantum and thermal fluctuations in thermodynamic systems.",machine
17,"  We investigate default-free bond markets where the standard relationship
between a possibly existing bank account process and the term structure of bond
prices is broken, i.e. the bank account process is not a valid num\'eraire. We
argue that this feature is not the exception but rather the rule in bond
markets when starting with, e.g., terminal bonds as num\'eraires.
  Our setting are general c\`adl\`ag processes as bond prices, where we employ
directly methods from large financial markets. Moreover, we do not restrict
price process to be semimartingales, which allows for example to consider
markets driven by fractional Brownian motion. In the core of the article we
relate the appropriate no arbitrage assumptions (NAFL), i.e. no asymptotic free
lunch, to the existence of an equivalent local martingale measure with respect
to the terminal bond as num\'eraire, and no arbitrage opportunities of the
first kind (NAA1) to the existence of a supermartingale deflator, respectively.
In all settings we obtain existence of a generalized bank account as a limit of
convex combinations of roll-over bonds.
  Additionally we provide an alternative definition of the concept of a
num\'eraire, leading to a possibly interesting connection to bubbles. If we can
construct a bank account process through roll-overs, we can relate the
impossibility of taking the bank account as num\'eraire to liquidity effects.
Here we enter endogenously the arena of multiple yield curves.
  The theory is illustrated by several examples.
",human
18,"This research paper explores the implementation of the Approximate Message Passing (AMP) algorithm enhanced with Universal Denoising and Gaussian Mixture Learning techniques for signal recovery in noisy environments. The objective of this study is to improve the accuracy and robustness of signal recovery by incorporating advanced denoising and learning methods within the traditional AMP framework.   The methodology involves integrating Universal Denoiser and Gaussian Mixture Learning modules into the iterative AMP algorithm to enhance its performance in reconstructing signals corrupted by noise. Universal Denoising aims to adaptively denoise the measurements during the recovery process, while Gaussian Mixture Learning assists in capturing complex signal distributions for more accurate estimation.  Key findings demonstrate that the proposed approach achieves superior signal recovery performance compared to conventional AMP methods, particularly in scenarios with high levels of noise and complex signal structures. The Universal Denoising and Gaussian Mixture Learning modules effectively enhance the algorithm's capability to recover signals accurately under challenging conditions.  In conclusion, the integration of Universal Denoising and Gaussian Mixture Learning techniques into the AMP algorithm presents a promising avenue for improving signal recovery in noisy environments. This research contributes to advancing the field of signal processing by offering a more robust and efficient method for recovering signals corrupted by noise.",machine
19,"We investigated the problem of sharp support recovery from noisy random measurements by employing L1 minimization techniques. Our approach focuses on developing a robust method to accurately identify the support of a sparse signal from a set of noisy, randomly sampled measurements.   We formulated the support recovery problem as a L1-constrained optimization problem, where the objective function is the L1 norm of the difference between the observed measurements and the measurements generated by the true sparse signal. By minimizing this objective function, we can recover the support of the sparse signal, which corresponds to the non-zero coefficients of the signal.   Our method involves regularizing the L1 minimization problem with a prior knowledge of the sparsity of the signal, which is represented by a set of sparse constraints. This prior knowledge is incorporated into the optimization problem using a L1 penalty term, which encourages the model to produce a sparse solution.   We evaluated the performance of our method using a range of synthetic and real-world datasets, and compared it with other state-of-the-art methods for support recovery. The results show that our approach outperforms existing methods in terms of accuracy and robustness, particularly in the presence of noisy measurements. The key idea underlying our method is the use of L1 minimization to recover the support of a sparse signal from noisy, randomly sampled measurements, and the incorporation of prior knowledge of sparsity into the optimization problem using a L1 penalty term.",machine
20,"The study investigates the tight subgiant branch (RGB) of the intermediate-age globular cluster NGC 411, focusing on its implications regarding the age of the stellar population within the cluster. Utilizing high-resolution spectroscopy, we analyzed the chemical abundances and kinematic properties of stars along the RGB to derive reliable ages. The results indicate that the observed RGB morphology and metallicity distribution suggest a single-age stellar population, consistent with previous studies of NGC 411. This finding supports theoretical models that predict the evolution of globular clusters over time and highlights the importance of RGB analysis in determining the true age and history of intermediate-age clusters.",machine
21,"Helium detonations in astrophysical environments are crucial for understanding various stellar explosion phenomena, including supernovae and x-ray bursts. This abstract discusses the key conditions necessary for initiating and sustaining successful helium detonations in stellar interiors. Firstly, the background of helium ignition and the challenge of initiating a helium detonation is introduced. The objective of this study is to identify the minimum conditions required to trigger helium detonations. Numerical simulations are employed as the primary methodology, utilizing one-dimensional and three-dimensional models to investigate the impact of various parameters such as temperature, density, and velocity on the ignition and propagation of helium detonations. The results indicate that a minimum temperature of approximately 2.3×107 K and a density greater than 1010 kg/m3 are essential for initiating helium detonations. Furthermore, these detonations require an extensive helium fuel layer with a thickness greater than 150 m. The conclusions of this research demonstrate that successful helium detonations are dependent on the thermodynamic conditions of the stellar environment, specifically the temperature, density, and helium fuel layer thickness. This study contributes to our understanding of the mechanisms behind stellar explosions and highlights the importance of accurately modeling helium detonations in astrophysical simulations. Future work may explore the potential impact of magnetic fields and rotation on the initiation and propagation of helium detonations.",machine
22,"  In this article, we study the 1 + 3 dimensional relativistic Euler equations
on a pre-specified conformally flat expanding spacetime background with spatial
slices that are diffeomorphic to $\mathbb{R}^3.$ We assume that the fluid
verifies the equation of state $p = c_s^2 \rho,$ where $0 \leq c_s \leq
\sqrt{1/3}$ is the speed of sound. We also assume that the inverse of the scale
factor associated to the expanding spacetime metric verifies a $c_s-$dependent
time-integrability condition. Under these assumptions, we use the vectorfield
energy method to prove that an explicit family of physically motivated,
spatially homogeneous, and spatially isotropic fluid solutions is globally
future-stable under small perturbations of their initial conditions. The
explicit solutions corresponding to each scale factor are analogs of the
well-known spatially flat Friedmann-Lema\^{\i}tre-Robertson-Walker family. Our
nonlinear analysis, which exploits dissipative terms generated by the
expansion, shows that the perturbed solutions exist for all future times and
remain close to the explicit solutions. This work is an extension of previous
results, which showed that an analogous stability result holds when the
spacetime is exponentially expanding. In the case of the radiation equation of
state $p = (1/3)\rho,$ we also show that if the time-integrability condition
for the inverse of the scale factor fails to hold, then the explicit fluid
solutions are unstable. More precisely, we show that arbitrarily small smooth
perturbations of the explicit solutions' initial conditions can launch
perturbed solutions that form shocks in finite time. The shock formation proof
is based on the conformal invariance of the relativistic Euler equations when
$c_s^2 = 1/3,$ which allows for a reduction to a well-known result of
Christodoulou.
",human
23,"  We study the effects of Kelvin-Helmholtz instability (KHI) on the cold
streams that feed high-redshift galaxies through their hot haloes, generalizing
our earlier analyses of a 2D slab to a 3D cylinder, but still limiting our
analysis to the adiabatic case with no gravity. We combine analytic modeling
and numerical simulations in the linear and non-linear regimes. For subsonic or
transonic streams with respect to the halo sound speed, the instability in 3D
is qualitatively similar to 2D, but progresses at a faster pace. For supersonic
streams, the instability grows much faster in 3D and can be qualitatively
different due to azimuthal modes, which introduce a strong dependence on the
initial width of the stream-background interface. Using analytic toy models and
approximations supported by high-resolution simulations, we apply our idealized
hydrodynamical analysis to the astrophysical scenario. The upper limit for the
radius of a stream that disintegrates prior to reaching the central galaxy is
~70% larger than the 2D estimate; it is in the range (0.5-5)% of the halo
virial radius, decreasing with increasing stream density and velocity. Stream
disruption generates a turbulent mixing zone around the stream with velocities
at the level of ~20% of the initial stream velocity. KHI can cause significant
stream deceleration and energy dissipation in 3d, contrary to 2D estimates. For
typical streams, up to (10-50)% of the gravitational energy gained by inflow
down the dark-matter halo potential can be dissipated, capable of powering
Lyman-alpha blobs if most of it is dissipated into radiation.
",human
24,"We investigate the self-wrapping phenomenon of an ouzo drop induced by evaporation on a superamphiphobic surface, a previously unexplored area of study in the realm of surface science. Through a combination of experiments and theoretical modeling, we demonstrate that the unique properties of the superamphiphobic surface, characterized by a high contact angle and low surface energy, facilitate the formation of a self-wrapping structure around the ouzo drop. This phenomenon arises from the interplay between the surface's hydrophobic and oleophobic properties, which enable the formation of a hydrophobic ""skin"" around the drop, while the oleophobic properties promote the formation of a oleophobic ""skin"" on the surface, effectively creating a self-wrapping structure.  Our results show that the self-wrapping process is highly dependent on the evaporation rate and the surface's surface energy, with higher evaporation rates and lower surface energies leading to more pronounced self-wrapping effects. We also observe that the self-wrapping structure exhibits a characteristic ""hourglass"" shape, with the ouzo drop forming a narrow neck at the top and a wider body at the bottom. Theoretical modeling reveals that this shape is a result of the balance between surface tension and surface energy, with the surface energy playing a dominant role in the formation of the self-wrapping structure.  Our study provides new insights into the behavior of liquids on superamphiphobic surfaces and has significant implications for the development of novel surface technologies, including self-cleaning and self-healing surfaces.",machine
25,"  For direct imaging of exoplanets, a stellar coronagraph helps to remove the
image of an observed bright star by attenuating the diffraction effects caused
by the telescope aperture of diameter D. The Dual Zone Phase Mask (DZPM)
coronagraph constitutes a promising concept since it theoretically offers a
small inner working angle (IWA \sim \lambda_0/D), good achromaticity and high
starlight rejection, typically reaching a 1e6 contrast at 5 \lambda_0/D from
the star over a spectral bandwidth \Delta\lambda/\lambda_0 of 25% (similar to
H-band). This last value proves to be encouraging for broadband imaging of
young and warm Jupiter-like planets. Contrast levels higher than 1e6 are
however required for the observation of older and/or less massive companions
over a finite spectral bandwidth. An achromatization improvement of the DZPM
coronagraph is therefore mandatory to reach such performance. In its design,
the DZPM coronagraph uses a grey (or achromatic) apodization. We propose to
replace it by a colored apodization to increase the performance of this
coronagraphic system over a large spectral range. This innovative concept,
called Colored Apodizer Phase Mask (CAPM) coronagraph, is defined with some
design parameters optimized to reach the best contrast in the exoplanet search
area. Once this done, we study the performance of the CAPM coronagraph in the
presence of different errors to evaluate the sensitivity of our concept. A 2.5
mag contrast gain is estimated from the performance provided by the CAPM
coronagraph with respect to that of the DZPM coronagraph. A 2.2e-8 intensity
level at 5 \lambda_0/D separation is then theoretically achieved with the CAPM
coronagraph in the presence of a clear circular aperture and a 25% bandwidth.
In addition, our studies show that our concept is less sensitive to low than
high-order aberrations for a given value of rms wavefront errors.
",human
26,"  Cyber-physical systems (CPS) integrate sensing, computing, communication and
actuation capabilities to monitor and control operations in the physical
environment. A key requirement of such systems is the need to provide
predictable real-time performance: the timing correctness of the system should
be analyzable at design time with a quantitative metric and guaranteed at
runtime with high assurance. This requirement of predictability is particularly
important for safety-critical domains such as automobiles, aerospace, defense,
manufacturing and medical devices.
  The work in this dissertation focuses on the challenges arising from the use
of modern multi-core platforms in CPS. Even as of today, multi-core platforms
are rarely used in safety-critical applications primarily due to the temporal
interference caused by contention on various resources shared among processor
cores, such as caches, memory buses, and I/O devices. Such interference is hard
to predict and can significantly increase task execution time, e.g., up to 12x
on commodity quad-core platforms. To address the problem of ensuring timing
predictability on multi-core platforms, we develop novel analytical and systems
techniques in this dissertation. Our proposed techniques theoretically bound
temporal interference that tasks may suffer from when accessing shared
resources. Our techniques also involve software primitives and algorithms for
real-time operating systems and hypervisors, which significantly reduce the
degree of the temporal interference. Specifically, we tackle the issues of
cache and memory contention, locking and synchronization, interrupt handling,
and access control for computational accelerators such as GPGPUs, all of which
are crucial to achieving predictable real-time performance on a modern
multi-core platform.
",human
